Date (yyyy/mm/dd),Workout,Workout Name,Program Name,Body Weight (KG),Exercise,Sets×Reps,Sets×Time,Top Set (Reps×KG),e1RM (KG),Reps,Volume (KG),Workout Volume (KG),Duration (hours),Start Time (h:mm),End Time (h:mm),Notes,Set 1 (Reps),Set 1 (KG),Set 2 (Reps),Set 2 (KG),Set 3 (Reps),Set 3 (KG),Set 4 (Reps),Set 4 (KG),Set 5 (Reps),Set 5 (KG)
2023/08/03,68,"Workout A","",90,"Barbell Row",Skipped,,,,0,0,2250.0,0.36969,8:27 PM,8:50 PM,"",0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
2023/08/07,69,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×92.5,114,25,2312.5,5062.5,0.95139,6:11 PM,7:08 PM,"",5,92.5,5,92.5,5,92.5,5,92.5,5,92.5
2023/08/07,69,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×70,86.3,25,1750,5062.5,0.95139,6:11 PM,7:08 PM,"",5,70,5,70,5,70,5,70,5,70
2023/08/07,69,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×40,49.3,25,1000,5062.5,0.95139,6:11 PM,7:08 PM,"",5,40,5,40,5,40,5,40,5,40
2023/08/09,70,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×90,110.9,25,2250,3750.0,0.87778,7:07 PM,8:00 PM,"",5,90,5,90,5,90,5,90,5,90
2023/08/09,70,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×40,49.3,25,1000,3750.0,0.87778,7:07 PM,8:00 PM,"",5,40,5,40,5,40,5,40,5,40
2023/08/09,70,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×100,123.3,5,500,3750.0,0.87778,7:07 PM,8:00 PM,"",5,100,,,,,,,,
2023/08/13,71,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×90,110.9,25,2250,4562.5,1.0844,8:01 PM,9:06 PM,"",5,90,5,90,5,90,5,90,5,90
2023/08/13,71,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×50,61.6,25,1250,4562.5,1.0844,8:01 PM,9:06 PM,"",5,50,5,50,5,50,5,50,5,50
2023/08/13,71,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×42.5,52.4,25,1062.5,4562.5,1.0844,8:01 PM,9:06 PM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2023/08/15,72,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×90,110.9,25,2250,3620.0,0.95806,8:16 PM,2:20 PM,"",5,90,5,90,5,90,5,90,5,90
2023/08/15,72,"Workout B","Stronglifts 5×5",90,"Overhead Press",5/5/5/5/-,,5×41,47.5,20,820,3620.0,0.95806,8:16 PM,2:20 PM,"",5,41,5,41,5,41,5,41,0,41
2023/08/15,72,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×110,135.6,5,550,3620.0,0.95806,8:16 PM,2:20 PM,"",5,110,,,,,,,,
2023/11/13,73,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×54.4,67,25,1360,3175.0,1.0383,5:39 PM,6:41 PM,"",5,54.4,5,54.4,5,54.4,5,54.4,5,54.4
2023/11/13,73,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×36.3,44.7,25,907.5,3175.0,1.0383,5:39 PM,6:41 PM,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2023/11/13,73,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×36.3,44.7,25,907.5,3175.0,1.0383,5:39 PM,6:41 PM,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2023/11/15,74,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×56.9,70.1,25,1422.5,2605.0,0.64611,6:26 PM,7:09 PM,"",5,56.9,5,56.9,5,56.9,5,56.9,5,56.9
2023/11/15,74,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×36.3,44.7,25,907.5,2605.0,0.64611,6:26 PM,7:09 PM,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2023/11/15,74,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×55,67.8,5,275,2605.0,0.64611,6:26 PM,7:09 PM,"",5,55,,,,,,,,
2023/11/18,75,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×59.4,73.2,25,1485,3425.0,0.95639,7:55 PM,8:52 PM,"",5,59.4,5,59.4,5,59.4,5,59.4,5,59.4
2023/11/18,75,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×38.8,47.8,25,970,3425.0,0.95639,7:55 PM,8:52 PM,"",5,38.8,5,38.8,5,38.8,5,38.8,5,38.8
2023/11/18,75,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×38.8,47.8,25,970,3425.0,0.95639,7:55 PM,8:52 PM,"",5,38.8,5,38.8,5,38.8,5,38.8,5,38.8
2023/11/20,76,"Workout B","Stronglifts 5×5",90,"Squat",5/5/5/5/-,,5×61.9,71.7,20,1238,2538.0,0.64861,8:20 PM,8:59 PM,"",5,61.9,5,61.9,5,61.9,5,61.9,0,61.9
2023/11/20,76,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×40,49.3,25,1000,2538.0,0.64861,8:20 PM,8:59 PM,"",5,40,5,40,5,40,5,40,5,40
2023/11/20,76,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×60,73.9,5,300,2538.0,0.64861,8:20 PM,8:59 PM,"",5,60,,,,,,,,
2024/04/09,77,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×40,49.3,25,1000,1900.0,0.62444,8:03 PM,8:41 PM,"",5,40,5,40,5,40,5,40,5,40
2024/04/09,77,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×30,36.9,25,750,1900.0,0.62444,8:03 PM,8:41 PM,"",5,30,5,30,5,30,5,30,5,30
2024/04/09,77,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×30,36.9,5,150,1900.0,0.62444,8:03 PM,8:41 PM,"",5,30,,,,,,,,
2024/04/14,78,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×42.5,52.4,25,1062.5,2877.5,0.62778,9:33 AM,10:11 AM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2024/04/14,78,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×36.3,44.7,25,907.5,2877.5,0.62778,9:33 AM,10:11 AM,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2024/04/14,78,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×36.3,44.7,25,907.5,2877.5,0.62778,9:33 AM,10:11 AM,"",5,36.3,5,36.3,5,36.3,5,36.3,5,36.3
2024/04/16,79,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×50,61.6,25,1250,2187.5,0.63278,8:08 PM,8:46 PM,"",5,50,5,50,5,50,5,50,5,50
2024/04/16,79,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×31,38.2,25,775,2187.5,0.63278,8:08 PM,8:46 PM,"",5,31,5,31,5,31,5,31,5,31
2024/04/16,79,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×32.5,40,5,162.5,2187.5,0.63278,8:08 PM,8:46 PM,"",5,32.5,,,,,,,,
2024/04/18,80,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×60,73.9,25,1500,3300.0,0.1,8:05 PM,9:05 PM,"",5,60,5,60,5,60,5,60,5,60
2024/04/18,80,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×32,39.4,25,800,3300.0,0.1,8:05 PM,9:05 PM,"",5,32,5,32,5,32,5,32,5,32
2024/04/18,80,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×40,49.3,25,1000,3300.0,0.1,8:05 PM,9:05 PM,"",5,40,5,40,5,40,5,40,5,40
2024/04/24,81,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×60,73.9,25,1500,2500.0,0.74361,4:43 PM,5:28 PM,"",5,60,5,60,5,60,5,60,5,60
2024/04/24,81,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×30,36.9,25,750,2500.0,0.74361,4:43 PM,5:28 PM,"",5,30,5,30,5,30,5,30,5,30
2024/04/24,81,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×50,61.6,5,250,2500.0,0.74361,4:43 PM,5:28 PM,"",5,50,,,,,,,,
2024/04/27,82,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×70,86.3,25,1750,2750.0,0.51639,7:45 PM,8:16 PM,"",5,70,5,70,5,70,5,70,5,70
2024/04/27,82,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×40,49.3,25,1000,2750.0,0.51639,7:45 PM,8:16 PM,"",5,40,5,40,5,40,5,40,5,40
2024/04/27,82,"Workout A","Stronglifts 5×5",90,"Barbell Row",Skipped,,,,0,0,2750.0,0.51639,7:45 PM,8:16 PM,"",0,42.5,0,42.5,0,42.5,0,42.5,0,42.5
2024/05/01,83,"Workout A","Stronglifts 5×5",85,"Squat",5×5,,5×70,86.3,25,1750,3875.0,0.89833,6:43 PM,7:37 PM,"",5,70,5,70,5,70,5,70,5,70
2024/05/01,83,"Workout A","Stronglifts 5×5",85,"Bench Press",5×5,,5×42.5,52.4,25,1062.5,3875.0,0.89833,6:43 PM,7:37 PM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2024/05/01,83,"Workout A","Stronglifts 5×5",85,"Barbell Row",5×5,,5×42.5,52.4,25,1062.5,3875.0,0.89833,6:43 PM,7:37 PM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2024/05/03,84,"Workout B","Stronglifts 5×5",85,"Squat",5×5,,5×75,92.4,25,1875,3175.0,0.64944,8:06 PM,8:50 PM,"",5,75,5,75,5,75,5,75,5,75
2024/05/03,84,"Workout B","Stronglifts 5×5",85,"Overhead Press",5×5,,5×40,49.3,25,1000,3175.0,0.64944,8:06 PM,8:50 PM,"",5,40,5,40,5,40,5,40,5,40
2024/05/03,84,"Workout B","Stronglifts 5×5",85,"Deadlift",1×5,,5×60,73.9,5,300,3175.0,0.64944,8:06 PM,8:50 PM,"",5,60,,,,,,,,
2024/05/08,85,"Workout B","Stronglifts 5×5",85,"Squat",5×5,,5×80,98.6,25,2000,3312.5,0.76861,7:28 PM,8:14 PM,"",5,80,5,80,5,80,5,80,5,80
2024/05/08,85,"Workout B","Stronglifts 5×5",85,"Overhead Press",5×5,,5×40,49.3,25,1000,3312.5,0.76861,7:28 PM,8:14 PM,"",5,40,5,40,5,40,5,40,5,40
2024/05/08,85,"Workout B","Stronglifts 5×5",85,"Deadlift",1×5,,5×62.5,77,5,312.5,3312.5,0.76861,7:28 PM,8:14 PM,"",5,62.5,,,,,,,,
2024/05/10,86,"Workout A","Stronglifts 5×5",85,"Squat",5×5,,5×80,98.6,25,2000,4250.0,0.82,7:35 PM,8:24 PM,"",5,80,5,80,5,80,5,80,5,80
2024/05/10,86,"Workout A","Stronglifts 5×5",85,"Bench Press",5×5,,5×45,55.4,25,1125,4250.0,0.82,7:35 PM,8:24 PM,"",5,45,5,45,5,45,5,45,5,45
2024/05/10,86,"Workout A","Stronglifts 5×5",85,"Barbell Row",5×5,,5×45,55.4,25,1125,4250.0,0.82,7:35 PM,8:24 PM,"",5,45,5,45,5,45,5,45,5,45
2024/05/13,87,"Workout B","Stronglifts 5×5",90,"Squat",5/5/5/4/5,,5×80,92.6,24,1920,3320.0,0,8:45 PM,9:30 PM,"",5,80,5,80,5,80,4,80,5,80
2024/05/13,87,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×40,49.3,25,1000,3320.0,0,8:45 PM,9:30 PM,"",5,40,5,40,5,40,5,40,5,40
2024/05/13,87,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×80,98.6,5,400,3320.0,0,8:45 PM,9:30 PM,"",5,80,,,,,,,,
2024/05/15,88,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×80,98.6,25,2000,4750.0,0.87028,7:41 PM,8:33 PM,"",5,80,5,80,5,80,5,80,5,80
2024/05/15,88,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×60,73.9,25,1500,4750.0,0.87028,7:41 PM,8:33 PM,"",5,60,5,60,5,60,5,60,5,60
2024/05/15,88,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×50,61.6,25,1250,4750.0,0.87028,7:41 PM,8:33 PM,"",5,50,5,50,5,50,5,50,5,50
2024/05/18,89,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×80,98.6,25,2000,3500.0,0.71917,8:37 PM,9:20 PM,"",5,80,5,80,5,80,5,80,5,80
2024/05/18,89,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×40,49.3,25,1000,3500.0,0.71917,8:37 PM,9:20 PM,"",5,40,5,40,5,40,5,40,5,40
2024/05/18,89,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×100,123.3,5,500,3500.0,0.71917,8:37 PM,9:20 PM,"",5,100,,,,,,,,
2024/05/23,90,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×85,104.8,25,2125,4875.0,0.68667,8:29 PM,9:11 PM,"",5,85,5,85,5,85,5,85,5,85
2024/05/23,90,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×60,73.9,25,1500,4875.0,0.68667,8:29 PM,9:11 PM,"",5,60,5,60,5,60,5,60,5,60
2024/05/23,90,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×50,61.6,25,1250,4875.0,0.68667,8:29 PM,9:11 PM,"",5,50,5,50,5,50,5,50,5,50
2024/06/01,91,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×80,98.6,25,2000,3500.0,0.73694,9:58 AM,10:43 AM,"",5,80,5,80,5,80,5,80,5,80
2024/06/01,91,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×40,49.3,25,1000,3500.0,0.73694,9:58 AM,10:43 AM,"",5,40,5,40,5,40,5,40,5,40
2024/06/01,91,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×100,123.3,5,500,3500.0,0.73694,9:58 AM,10:43 AM,"",5,100,,,,,,,,
2025/05/13,92,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×40,49.3,25,1000,1725.0,0.60972,7:18 PM,7:54 PM,"",5,40,5,40,5,40,5,40,5,40
2025/05/13,92,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×20,24.6,25,500,1725.0,0.60972,7:18 PM,7:54 PM,"",5,20,5,20,5,20,5,20,5,20
2025/05/13,92,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×45,55.4,5,225,1725.0,0.60972,7:18 PM,7:54 PM,"",5,45,,,,,,,,
2025/05/16,93,"Workout A","Stronglifts 5×5",74.716,"Squat",5×5,,5×42.5,52.4,25,1062.5,2562.5,0.98583,9:13 PM,10:12 PM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2025/05/16,93,"Workout A","Stronglifts 5×5",74.716,"Bench Press",5×5,,5×30,36.9,25,750,2562.5,0.98583,9:13 PM,10:12 PM,"",5,30,5,30,5,30,5,30,5,30
2025/05/16,93,"Workout A","Stronglifts 5×5",74.716,"Barbell Row",5×5,,5×30,36.9,25,750,2562.5,0.98583,9:13 PM,10:12 PM,"",5,30,5,30,5,30,5,30,5,30
2025/06/01,94,"Workout B","Stronglifts 5×5",74.716,"Squat",5×5,,5×50,61.6,25,1250,2237.5,0.64361,9:06 AM,9:45 AM,"",5,50,5,50,5,50,5,50,5,50
2025/06/01,94,"Workout B","Stronglifts 5×5",74.716,"Overhead Press",5×5,,5×30,36.9,25,750,2237.5,0.64361,9:06 AM,9:45 AM,"",5,30,5,30,5,30,5,30,5,30
2025/06/01,94,"Workout B","Stronglifts 5×5",74.716,"Deadlift",1×5,,5×47.5,58.5,5,237.5,2237.5,0.64361,9:06 AM,9:45 AM,"",5,47.5,,,,,,,,
2025/06/12,95,"Workout A","Stronglifts 5×5",74.716,"Squat",5×5,,5×45,55.4,25,1125,3375.0,0.855,11:46 AM,12:37 PM,"",5,45,5,45,5,45,5,45,5,45
2025/06/12,95,"Workout A","Stronglifts 5×5",74.716,"Bench Press",5×5,,5×45,55.4,25,1125,3375.0,0.855,11:46 AM,12:37 PM,"",5,45,5,45,5,45,5,45,5,45
2025/06/12,95,"Workout A","Stronglifts 5×5",74.716,"Barbell Row",5×5,,5×45,55.4,25,1125,3375.0,0.855,11:46 AM,12:37 PM,"",5,45,5,45,5,45,5,45,5,45
2025/06/15,96,"Workout B","Stronglifts 5×5",74.716,"Squat",5×5,,5×50,61.6,25,1250,2100.0,0.57083,11:36 AM,12:10 PM,"",5,50,5,50,5,50,5,50,5,50
2025/06/15,96,"Workout B","Stronglifts 5×5",74.716,"Overhead Press",5×5,,5×25,30.8,25,625,2100.0,0.57083,11:36 AM,12:10 PM,"",5,25,5,25,5,25,5,25,5,25
2025/06/15,96,"Workout B","Stronglifts 5×5",74.716,"Deadlift",1×5,,5×45,55.4,5,225,2100.0,0.57083,11:36 AM,12:10 PM,"",5,45,,,,,,,,
2025/06/17,97,"Workout A","Stronglifts 5×5",74.716,"Squat",5×5,,5×52.5,64.7,25,1312.5,3812.5,1.0278,11:36 AM,12:38 PM,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2025/06/17,97,"Workout A","Stronglifts 5×5",74.716,"Bench Press",5×5,,5×50,61.6,25,1250,3812.5,1.0278,11:36 AM,12:38 PM,"",5,50,5,50,5,50,5,50,5,50
2025/06/17,97,"Workout A","Stronglifts 5×5",74.716,"Barbell Row",5×5,,5×50,61.6,25,1250,3812.5,1.0278,11:36 AM,12:38 PM,"",5,50,5,50,5,50,5,50,5,50
2025/06/21,98,"Workout B","Stronglifts 5×5",74.716,"Squat",5×5,,5×55,67.8,25,1375,2262.5,0.60444,2:07 PM,2:44 PM,"",5,55,5,55,5,55,5,55,5,55
2025/06/21,98,"Workout B","Stronglifts 5×5",74.716,"Overhead Press",5×5,,5×26,32,25,650,2262.5,0.60444,2:07 PM,2:44 PM,"",5,26,5,26,5,26,5,26,5,26
2025/06/21,98,"Workout B","Stronglifts 5×5",74.716,"Deadlift",1×5,,5×47.5,58.5,5,237.5,2262.5,0.60444,2:07 PM,2:44 PM,"",5,47.5,,,,,,,,
2025/06/26,99,"Workout A","Stronglifts 5×5",74.716,"Squat",5×5,,5×57.5,70.9,25,1437.5,4062.5,0.98639,3:16 PM,4:15 PM,"",5,57.5,5,57.5,5,57.5,5,57.5,5,57.5
2025/06/26,99,"Workout A","Stronglifts 5×5",74.716,"Bench Press",5×5,,5×52.5,64.7,25,1312.5,4062.5,0.98639,3:16 PM,4:15 PM,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2025/06/26,99,"Workout A","Stronglifts 5×5",74.716,"Barbell Row",5×5,,5×52.5,64.7,25,1312.5,4062.5,0.98639,3:16 PM,4:15 PM,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2025/07/09,100,"Workout B","Stronglifts 5×5",85,"Squat",5×5,,5×50,61.6,25,1250,2250.0,0.75194,12:05 PM,12:50 PM,"",5,50,5,50,5,50,5,50,5,50
2025/07/09,100,"Workout B","Stronglifts 5×5",85,"Overhead Press",5×5,,5×30,36.9,25,750,2250.0,0.75194,12:05 PM,12:50 PM,"",5,30,5,30,5,30,5,30,5,30
2025/07/09,100,"Workout B","Stronglifts 5×5",85,"Deadlift",1×5,,5×50,61.6,5,250,2250.0,0.75194,12:05 PM,12:50 PM,"",5,50,,,,,,,,
2025/07/23,101,"Workout A","Stronglifts 5×5",85,"Squat",5×5,,5×40,49.3,25,1000,3000.0,1.0903,12:47 PM,2:00 PM,"",5,40,5,40,5,40,5,40,5,40
2025/07/23,101,"Workout A","Stronglifts 5×5",85,"Bench Press",5×5,,5×40,49.3,25,1000,3000.0,1.0903,12:47 PM,2:00 PM,"",5,40,5,40,5,40,5,40,5,40
2025/07/23,101,"Workout A","Stronglifts 5×5",85,"Barbell Row",5×5,,5×40,49.3,25,1000,3000.0,1.0903,12:47 PM,2:00 PM,"",5,40,5,40,5,40,5,40,5,40
2025/09/20,102,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×40,49.3,25,1000,2500.0,0.98139,8:32 PM,9:40 PM,"",5,40,5,40,5,40,5,40,5,40
2025/09/20,102,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×30,36.9,25,750,2500.0,0.98139,8:32 PM,9:40 PM,"",5,30,5,30,5,30,5,30,5,30
2025/09/20,102,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×30,36.9,25,750,2500.0,0.98139,8:32 PM,9:40 PM,"",5,30,5,30,5,30,5,30,5,30
2025/09/23,103,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×40,49.3,25,1000,1750.0,0.65667,7:46 PM,8:26 PM,"",5,40,5,40,5,40,5,40,5,40
2025/09/23,103,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×20,24.6,25,500,1750.0,0.65667,7:46 PM,8:26 PM,"",5,20,5,20,5,20,5,20,5,20
2025/09/23,103,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×50,61.6,5,250,1750.0,0.65667,7:46 PM,8:26 PM,"",5,50,,,,,,,,
2025/09/25,104,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×45,55.4,25,1125,2875.0,0.62444,7:28 PM,8:06 PM,"",5,45,5,45,5,45,5,45,5,45
2025/09/25,104,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×35,43.1,25,875,2875.0,0.62444,7:28 PM,8:06 PM,"",5,35,5,35,5,35,5,35,5,35
2025/09/25,104,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×35,43.1,25,875,2875.0,0.62444,7:28 PM,8:06 PM,"",5,35,5,35,5,35,5,35,5,35
2025/09/30,105,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×47.5,58.5,25,1187.5,1975.0,0.72056,8:26 PM,7:13 AM,"",5,47.5,5,47.5,5,47.5,5,47.5,5,47.5
2025/09/30,105,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×21,25.8,25,525,1975.0,0.72056,8:26 PM,7:13 AM,"",5,21,5,21,5,21,5,21,5,21
2025/09/30,105,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×52.5,64.7,5,262.5,1975.0,0.72056,8:26 PM,7:13 AM,"",5,52.5,,,,,,,,
2025/10/02,106,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×50,61.6,25,1250,3125.0,0.85028,8:10 PM,9:01 PM,"",5,50,5,50,5,50,5,50,5,50
2025/10/02,106,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×37.5,46.2,25,937.5,3125.0,0.85028,8:10 PM,9:01 PM,"",5,37.5,5,37.5,5,37.5,5,37.5,5,37.5
2025/10/02,106,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×37.5,46.2,25,937.5,3125.0,0.85028,8:10 PM,9:01 PM,"",5,37.5,5,37.5,5,37.5,5,37.5,5,37.5
2025/10/07,107,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×50,61.6,25,1250,2150.0,0.66333,9:29 PM,10:08 PM,"",5,50,5,50,5,50,5,50,5,50
2025/10/07,107,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×25,30.8,25,625,2150.0,0.66333,9:29 PM,10:08 PM,"",5,25,5,25,5,25,5,25,5,25
2025/10/07,107,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×55,67.8,5,275,2150.0,0.66333,9:29 PM,10:08 PM,"",5,55,,,,,,,,
2025/10/13,108,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×52.5,64.7,25,1312.5,3272.5,0.83944,1:37 PM,2:28 PM,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2025/10/13,108,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×40,49.3,25,1000,3272.5,0.83944,1:37 PM,2:28 PM,"",5,40,5,40,5,40,5,40,5,40
2025/10/13,108,"Workout A","Stronglifts 5×5",90,"Barbell Row",5/5/5/4/5,,5×40,46.3,24,960,3272.5,0.83944,1:37 PM,2:28 PM,"",5,40,5,40,5,40,4,40,5,40
2025/10/15,109,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×55,67.8,25,1375,2312.5,0.82472,8:08 PM,8:58 PM,"",5,55,5,55,5,55,5,55,5,55
2025/10/15,109,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×26,32,25,650,2312.5,0.82472,8:08 PM,8:58 PM,"",5,26,5,26,5,26,5,26,5,26
2025/10/15,109,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×57.5,70.9,5,287.5,2312.5,0.82472,8:08 PM,8:58 PM,"",5,57.5,,,,,,,,
2025/10/17,110,"Workout A","Stronglifts 5×5",90,"Squat",5×5,,5×57.5,70.9,25,1437.5,3500.0,1.0444,8:55 PM,7:39 AM,"",5,57.5,5,57.5,5,57.5,5,57.5,5,57.5
2025/10/17,110,"Workout A","Stronglifts 5×5",90,"Bench Press",5×5,,5×42.5,52.4,25,1062.5,3500.0,1.0444,8:55 PM,7:39 AM,"",5,42.5,5,42.5,5,42.5,5,42.5,5,42.5
2025/10/17,110,"Workout A","Stronglifts 5×5",90,"Barbell Row",5×5,,5×40,49.3,25,1000,3500.0,1.0444,8:55 PM,7:39 AM,"",5,40,5,40,5,40,5,40,5,40
2025/10/29,111,"Workout B","Stronglifts 5×5",90,"Squat",5×5,,5×50,61.6,25,1250,2125.0,0.60194,8:56 PM,9:32 PM,"",5,50,5,50,5,50,5,50,5,50
2025/10/29,111,"Workout B","Stronglifts 5×5",90,"Overhead Press",5×5,,5×25,30.8,25,625,2125.0,0.60194,8:56 PM,9:32 PM,"",5,25,5,25,5,25,5,25,5,25
2025/10/29,111,"Workout B","Stronglifts 5×5",90,"Deadlift",1×5,,5×50,61.6,5,250,2125.0,0.60194,8:56 PM,9:32 PM,"",5,50,,,,,,,,
